doc,row_index,judge,replicate,metric,value
ddia,1,kimi,1,faithfulness,1.0
ddia,1,kimi,1,answer_relevancy,0.999999394787421
ddia,2,kimi,1,faithfulness,1.0
ddia,2,kimi,1,answer_relevancy,0.9809338138357088
attention,3,kimi,1,faithfulness,1.0
attention,3,kimi,1,answer_relevancy,0.9905691681300887
attention,4,kimi,1,faithfulness,1.0
attention,4,kimi,1,answer_relevancy,0.9919532154479386
product_analytics,5,kimi,1,faithfulness,1.0
product_analytics,5,kimi,1,answer_relevancy,0.9999995979346123
product_analytics,6,kimi,1,faithfulness,1.0
product_analytics,6,kimi,1,answer_relevancy,0.9726158696716638
ddia,7,kimi,1,faithfulness,0.75
ddia,7,kimi,1,answer_relevancy,0.7636567824726347
ddia,8,kimi,1,faithfulness,0.5714285714285714
ddia,8,kimi,1,answer_relevancy,0.8830527054157867
attention,9,kimi,1,faithfulness,0.8571428571428571
attention,9,kimi,1,answer_relevancy,0.9012128040446029
attention,10,kimi,1,faithfulness,0.6
attention,10,kimi,1,answer_relevancy,0.9106562968452266
product_analytics,11,kimi,1,faithfulness,0.8571428571428571
product_analytics,11,kimi,1,answer_relevancy,0.8723275328217378
product_analytics,12,kimi,1,faithfulness,0.6666666666666666
product_analytics,12,kimi,1,answer_relevancy,0.9013740550545432
ddia,13,kimi,1,faithfulness,0.5
ddia,13,kimi,1,answer_relevancy,0.8814633778301263
attention,14,kimi,1,faithfulness,0.8
attention,14,kimi,1,answer_relevancy,0.8130731161107309
attention,15,kimi,1,faithfulness,0.5
attention,15,kimi,1,answer_relevancy,0.9733894366747337
ddia,16,kimi,1,faithfulness,1.0
ddia,16,kimi,1,answer_relevancy,0.7267342978631662
attention,17,kimi,1,faithfulness,1.0
attention,17,kimi,1,answer_relevancy,0.49497898233507737
product_analytics,18,kimi,1,faithfulness,0.0
product_analytics,18,kimi,1,answer_relevancy,0.7527925411241115
ddia,19,kimi,1,faithfulness,1.0
ddia,19,kimi,1,answer_relevancy,0.7402314271616325
attention,20,kimi,1,faithfulness,1.0
attention,20,kimi,1,answer_relevancy,0.7780812203998778
ddia,21,kimi,1,faithfulness,1.0
ddia,21,kimi,1,answer_relevancy,0.756779262604252
ddia,22,kimi,1,faithfulness,1.0
ddia,22,kimi,1,answer_relevancy,0.14167494194011138
attention,23,kimi,1,faithfulness,1.0
attention,23,kimi,1,answer_relevancy,0.20802896311982677
attention,24,kimi,1,faithfulness,0.6666666666666666
attention,24,kimi,1,answer_relevancy,0.20908238751376285
ddia,1,kimi,2,faithfulness,1.0
ddia,1,kimi,2,answer_relevancy,0.9999999999999997
ddia,2,kimi,2,faithfulness,1.0
ddia,2,kimi,2,answer_relevancy,0.9786997694633307
attention,3,kimi,2,faithfulness,1.0
attention,3,kimi,2,answer_relevancy,0.9900739264801932
attention,4,kimi,2,faithfulness,1.0
attention,4,kimi,2,answer_relevancy,0.953223653153659
product_analytics,5,kimi,2,faithfulness,1.0
product_analytics,5,kimi,2,answer_relevancy,1.0000000000000002
product_analytics,6,kimi,2,faithfulness,1.0
product_analytics,6,kimi,2,answer_relevancy,0.9726260908221613
ddia,7,kimi,2,faithfulness,0.75
ddia,7,kimi,2,answer_relevancy,0.7707945305284755
ddia,8,kimi,2,faithfulness,0.8571428571428571
ddia,8,kimi,2,answer_relevancy,0.8809953574811923
attention,9,kimi,2,faithfulness,0.8888888888888888
attention,9,kimi,2,answer_relevancy,0.8707457551386052
attention,10,kimi,2,faithfulness,0.6
attention,10,kimi,2,answer_relevancy,0.8529406167436931
product_analytics,11,kimi,2,faithfulness,0.8571428571428571
product_analytics,11,kimi,2,answer_relevancy,0.8723275328217378
product_analytics,12,kimi,2,faithfulness,0.6666666666666666
product_analytics,12,kimi,2,answer_relevancy,0.8747681143223622
ddia,13,kimi,2,faithfulness,0.5
ddia,13,kimi,2,answer_relevancy,0.8711578977864454
attention,14,kimi,2,faithfulness,0.8
attention,14,kimi,2,answer_relevancy,0.8113840093170758
attention,15,kimi,2,faithfulness,0.5
attention,15,kimi,2,answer_relevancy,0.96602167082187
ddia,16,kimi,2,faithfulness,1.0
ddia,16,kimi,2,answer_relevancy,0.9526620849906369
attention,17,kimi,2,faithfulness,1.0
attention,17,kimi,2,answer_relevancy,0.4390273459598187
product_analytics,18,kimi,2,faithfulness,0.0
product_analytics,18,kimi,2,answer_relevancy,0.7527816054849167
ddia,19,kimi,2,faithfulness,1.0
ddia,19,kimi,2,answer_relevancy,0.7360086080184143
attention,20,kimi,2,faithfulness,1.0
attention,20,kimi,2,answer_relevancy,0.7485124220715041
ddia,21,kimi,2,faithfulness,1.0
ddia,21,kimi,2,answer_relevancy,0.796505968754885
ddia,22,kimi,2,faithfulness,1.0
ddia,22,kimi,2,answer_relevancy,0.14167494194011138
attention,23,kimi,2,faithfulness,1.0
attention,23,kimi,2,answer_relevancy,0.19168144845524512
attention,24,kimi,2,faithfulness,1.0
attention,24,kimi,2,answer_relevancy,0.21355989138805098
ddia,1,kimi,3,faithfulness,1.0
ddia,1,kimi,3,answer_relevancy,0.9999999999999997
ddia,2,kimi,3,faithfulness,1.0
ddia,2,kimi,3,answer_relevancy,0.9809339405995811
attention,3,kimi,3,faithfulness,1.0
attention,3,kimi,3,answer_relevancy,0.9905691681300887
attention,4,kimi,3,faithfulness,1.0
attention,4,kimi,3,answer_relevancy,0.9747804999430804
product_analytics,5,kimi,3,faithfulness,1.0
product_analytics,5,kimi,3,answer_relevancy,0.9999995979346123
product_analytics,6,kimi,3,faithfulness,1.0
product_analytics,6,kimi,3,answer_relevancy,0.9726158696716638
ddia,7,kimi,3,faithfulness,0.75
ddia,7,kimi,3,answer_relevancy,0.6061823978578994
ddia,8,kimi,3,faithfulness,0.8571428571428571
ddia,8,kimi,3,answer_relevancy,0.8468709750335393
attention,9,kimi,3,faithfulness,0.8571428571428571
attention,9,kimi,3,answer_relevancy,0.8505768602521839
attention,10,kimi,3,faithfulness,0.6
attention,10,kimi,3,answer_relevancy,0.8846233614900254
product_analytics,11,kimi,3,faithfulness,0.8571428571428571
product_analytics,11,kimi,3,answer_relevancy,0.8723275328217378
product_analytics,12,kimi,3,faithfulness,0.6666666666666666
product_analytics,12,kimi,3,answer_relevancy,0.9121451636826817
ddia,13,kimi,3,faithfulness,0.5
ddia,13,kimi,3,answer_relevancy,0.8648877072820534
attention,14,kimi,3,faithfulness,0.8
attention,14,kimi,3,answer_relevancy,0.8113840093170758
attention,15,kimi,3,faithfulness,0.5
attention,15,kimi,3,answer_relevancy,0.9682161787572078
ddia,16,kimi,3,faithfulness,1.0
ddia,16,kimi,3,answer_relevancy,0.7831783903390773
attention,17,kimi,3,faithfulness,1.0
attention,17,kimi,3,answer_relevancy,0.4390273459598188
product_analytics,18,kimi,3,faithfulness,0.0
product_analytics,18,kimi,3,answer_relevancy,0.7642308102143609
ddia,19,kimi,3,faithfulness,1.0
ddia,19,kimi,3,answer_relevancy,0.6933094661786544
attention,20,kimi,3,faithfulness,1.0
attention,20,kimi,3,answer_relevancy,0.7780718947204356
ddia,21,kimi,3,faithfulness,1.0
ddia,21,kimi,3,answer_relevancy,0.756779262604252
ddia,22,kimi,3,faithfulness,1.0
ddia,22,kimi,3,answer_relevancy,0.14167494194011138
attention,23,kimi,3,faithfulness,1.0
attention,23,kimi,3,answer_relevancy,0.20800563766393884
attention,24,kimi,3,faithfulness,1.0
attention,24,kimi,3,answer_relevancy,0.21355989138805098
ddia,1,openai,1,faithfulness,1.0
ddia,1,openai,1,answer_relevancy,0.8453371492076388
ddia,2,openai,1,faithfulness,1.0
ddia,2,openai,1,answer_relevancy,0.959134228488296
attention,3,openai,1,faithfulness,1.0
attention,3,openai,1,answer_relevancy,0.9906198747675496
attention,4,openai,1,faithfulness,1.0
attention,4,openai,1,answer_relevancy,0.98046894014937
product_analytics,5,openai,1,faithfulness,1.0
product_analytics,5,openai,1,answer_relevancy,0.9999995979346123
product_analytics,6,openai,1,faithfulness,0.6666666666666666
product_analytics,6,openai,1,answer_relevancy,0.957799418688731
ddia,7,openai,1,faithfulness,0.75
ddia,7,openai,1,answer_relevancy,0.8452504465449412
ddia,8,openai,1,faithfulness,0.5
ddia,8,openai,1,answer_relevancy,0.8760004652292812
attention,9,openai,1,faithfulness,0.875
attention,9,openai,1,answer_relevancy,0.889283773083826
attention,10,openai,1,faithfulness,0.3333333333333333
attention,10,openai,1,answer_relevancy,0.9348177132150072
product_analytics,11,openai,1,faithfulness,0.8571428571428571
product_analytics,11,openai,1,answer_relevancy,0.8720805112452742
product_analytics,12,openai,1,faithfulness,0.5
product_analytics,12,openai,1,answer_relevancy,0.9121684630937956
ddia,13,openai,1,faithfulness,0.5
ddia,13,openai,1,answer_relevancy,0.884610907347685
attention,14,openai,1,faithfulness,0.8333333333333334
attention,14,openai,1,answer_relevancy,0.764526255382265
attention,15,openai,1,faithfulness,0.5
attention,15,openai,1,answer_relevancy,0.98046894014937
ddia,16,openai,1,faithfulness,1.0
ddia,16,openai,1,answer_relevancy,0.4977036397942535
attention,17,openai,1,faithfulness,1.0
attention,17,openai,1,answer_relevancy,0.5806874995716385
product_analytics,18,openai,1,faithfulness,0.0
product_analytics,18,openai,1,answer_relevancy,0.9689875344158838
ddia,19,openai,1,faithfulness,1.0
ddia,19,openai,1,answer_relevancy,0.8172133941336611
attention,20,openai,1,faithfulness,1.0
attention,20,openai,1,answer_relevancy,0.6443697295934275
ddia,21,openai,1,faithfulness,1.0
ddia,21,openai,1,answer_relevancy,0.730259800416786
ddia,22,openai,1,faithfulness,1.0
ddia,22,openai,1,answer_relevancy,0.14167494194011138
attention,23,openai,1,faithfulness,0.8
attention,23,openai,1,answer_relevancy,0.24634394878910185
attention,24,openai,1,faithfulness,1.0
attention,24,openai,1,answer_relevancy,0.22864782748824056
ddia,1,openai,2,faithfulness,1.0
ddia,1,openai,2,answer_relevancy,0.8453210399566927
ddia,2,openai,2,faithfulness,1.0
ddia,2,openai,2,answer_relevancy,0.9591346103859277
attention,3,openai,2,faithfulness,1.0
attention,3,openai,2,answer_relevancy,0.9900739264801932
attention,4,openai,2,faithfulness,1.0
attention,4,openai,2,answer_relevancy,0.98046894014937
product_analytics,5,openai,2,faithfulness,1.0
product_analytics,5,openai,2,answer_relevancy,1.0000000000000002
product_analytics,6,openai,2,faithfulness,0.6666666666666666
product_analytics,6,openai,2,answer_relevancy,0.957799418688731
ddia,7,openai,2,faithfulness,0.75
ddia,7,openai,2,answer_relevancy,0.8452504465449412
ddia,8,openai,2,faithfulness,0.5
ddia,8,openai,2,answer_relevancy,0.8759516489636422
attention,9,openai,2,faithfulness,0.875
attention,9,openai,2,answer_relevancy,0.8892697603335797
attention,10,openai,2,faithfulness,0.3333333333333333
attention,10,openai,2,answer_relevancy,0.9348177132150072
product_analytics,11,openai,2,faithfulness,0.8333333333333334
product_analytics,11,openai,2,answer_relevancy,0.8720805112452742
product_analytics,12,openai,2,faithfulness,0.5
product_analytics,12,openai,2,answer_relevancy,0.9121684630937956
ddia,13,openai,2,faithfulness,0.5
ddia,13,openai,2,answer_relevancy,0.884610907347685
attention,14,openai,2,faithfulness,0.8333333333333334
attention,14,openai,2,answer_relevancy,0.7645017205762447
attention,15,openai,2,faithfulness,0.5
attention,15,openai,2,answer_relevancy,0.98046894014937
ddia,16,openai,2,faithfulness,1.0
ddia,16,openai,2,answer_relevancy,0.4977036397942535
attention,17,openai,2,faithfulness,1.0
attention,17,openai,2,answer_relevancy,0.5359485124839299
product_analytics,18,openai,2,faithfulness,0.0
product_analytics,18,openai,2,answer_relevancy,0.9535837007388513
ddia,19,openai,2,faithfulness,1.0
ddia,19,openai,2,answer_relevancy,0.8172133941336611
attention,20,openai,2,faithfulness,1.0
attention,20,openai,2,answer_relevancy,0.6444073358584796
ddia,21,openai,2,faithfulness,1.0
ddia,21,openai,2,answer_relevancy,0.730259800416786
ddia,22,openai,2,faithfulness,1.0
ddia,22,openai,2,answer_relevancy,0.14167494194011138
attention,23,openai,2,faithfulness,0.8
attention,23,openai,2,answer_relevancy,0.24634394878910185
attention,24,openai,2,faithfulness,1.0
attention,24,openai,2,answer_relevancy,0.22864782748824056
ddia,1,openai,3,faithfulness,1.0
ddia,1,openai,3,answer_relevancy,0.8453768929968101
ddia,2,openai,3,faithfulness,1.0
ddia,2,openai,3,answer_relevancy,0.9591390600271991
attention,3,openai,3,faithfulness,1.0
attention,3,openai,3,answer_relevancy,0.9905627075608748
attention,4,openai,3,faithfulness,1.0
attention,4,openai,3,answer_relevancy,0.98046894014937
product_analytics,5,openai,3,faithfulness,1.0
product_analytics,5,openai,3,answer_relevancy,0.9999995979346123
product_analytics,6,openai,3,faithfulness,0.6666666666666666
product_analytics,6,openai,3,answer_relevancy,0.957799418688731
ddia,7,openai,3,faithfulness,0.75
ddia,7,openai,3,answer_relevancy,0.8452504465449412
ddia,8,openai,3,faithfulness,0.5
ddia,8,openai,3,answer_relevancy,0.8759516489636422
attention,9,openai,3,faithfulness,0.875
attention,9,openai,3,answer_relevancy,0.889283773083826
attention,10,openai,3,faithfulness,0.3333333333333333
attention,10,openai,3,answer_relevancy,0.9348177132150072
product_analytics,11,openai,3,faithfulness,0.8333333333333334
product_analytics,11,openai,3,answer_relevancy,0.8720805112452742
product_analytics,12,openai,3,faithfulness,0.5
product_analytics,12,openai,3,answer_relevancy,0.9121684630937956
ddia,13,openai,3,faithfulness,0.5
ddia,13,openai,3,answer_relevancy,0.8828937505900636
attention,14,openai,3,faithfulness,0.8333333333333334
attention,14,openai,3,answer_relevancy,0.764526255382265
attention,15,openai,3,faithfulness,0.5
attention,15,openai,3,answer_relevancy,0.98046894014937
ddia,16,openai,3,faithfulness,1.0
ddia,16,openai,3,answer_relevancy,0.4977053045414446
attention,17,openai,3,faithfulness,1.0
attention,17,openai,3,answer_relevancy,0.5278866799134506
product_analytics,18,openai,3,faithfulness,0.0
product_analytics,18,openai,3,answer_relevancy,0.9689875344158838
ddia,19,openai,3,faithfulness,1.0
ddia,19,openai,3,answer_relevancy,0.8172133941336611
attention,20,openai,3,faithfulness,1.0
attention,20,openai,3,answer_relevancy,0.6444073358584796
ddia,21,openai,3,faithfulness,1.0
ddia,21,openai,3,answer_relevancy,0.730259800416786
ddia,22,openai,3,faithfulness,1.0
ddia,22,openai,3,answer_relevancy,0.14167494194011138
attention,23,openai,3,faithfulness,0.8
attention,23,openai,3,answer_relevancy,0.2519960157651023
attention,24,openai,3,faithfulness,1.0
attention,24,openai,3,answer_relevancy,0.22865774960306784
